document_id	artifact_type	versions	bytes	first_at	last_at
2d4593cc-051f-444e-9ed5-143df11a343d	converted_pdf	1	17825	2026-08-13 12:11:23.734204+00	2026-08-13 12:11:23.734204+00
2d4593cc-051f-444e-9ed5-143df11a343d	formula_json	1	18	2026-08-13 12:11:36.051191+00	2026-08-13 12:11:36.051191+00
2d4593cc-051f-444e-9ed5-143df11a343d	layout_json	1	776	2026-08-13 12:11:36.051191+00	2026-08-13 12:11:36.051191+00
2d4593cc-051f-444e-9ed5-143df11a343d	ocr_json	1	1922	2026-08-13 12:11:36.051188+00	2026-08-13 12:11:36.051188+00
2d4593cc-051f-444e-9ed5-143df11a343d	ocr_markdown	1	85	2026-08-13 12:11:36.05119+00	2026-08-13 12:11:36.05119+00
2d4593cc-051f-444e-9ed5-143df11a343d	ocr_text	1	74	2026-08-13 12:11:36.05119+00	2026-08-13 12:11:36.05119+00
2d4593cc-051f-444e-9ed5-143df11a343d	original	1	4488	2026-08-13 12:10:38.631954+00	2026-08-13 12:10:38.631954+00
2d4593cc-051f-444e-9ed5-143df11a343d	tables_json	1	18	2026-08-13 12:11:36.051191+00	2026-08-13 12:11:36.051191+00
4aae82ca-6838-4529-987b-29befc2c08d5	formula_json	1	18	2026-08-13 12:16:05.633428+00	2026-08-13 12:16:05.633428+00
4aae82ca-6838-4529-987b-29befc2c08d5	layout_json	1	17	2026-08-13 12:16:05.633427+00	2026-08-13 12:16:05.633427+00
4aae82ca-6838-4529-987b-29befc2c08d5	ocr_json	1	840	2026-08-13 12:16:05.63342+00	2026-08-13 12:16:05.63342+00
4aae82ca-6838-4529-987b-29befc2c08d5	ocr_markdown	1	0	2026-08-13 12:16:05.633425+00	2026-08-13 12:16:05.633425+00
4aae82ca-6838-4529-987b-29befc2c08d5	ocr_text	1	0	2026-08-13 12:16:05.633426+00	2026-08-13 12:16:05.633426+00
4aae82ca-6838-4529-987b-29befc2c08d5	original	1	129	2026-08-13 12:12:57.120336+00	2026-08-13 12:12:57.120336+00
4aae82ca-6838-4529-987b-29befc2c08d5	tables_json	1	18	2026-08-13 12:16:05.633429+00	2026-08-13 12:16:05.633429+00
7c378a81-f216-422f-94a7-96608fd43fba	deskewed_image	5	9956510	2026-08-13 12:10:43.320911+00	2026-08-13 13:08:13.431117+00
7c378a81-f216-422f-94a7-96608fd43fba	formula_json	5	90	2026-08-13 12:10:55.893214+00	2026-08-13 13:08:13.99398+00
7c378a81-f216-422f-94a7-96608fd43fba	layout_json	5	10620	2026-08-13 12:10:55.893213+00	2026-08-13 13:08:13.993979+00
7c378a81-f216-422f-94a7-96608fd43fba	ocr_json	5	16995	2026-08-13 12:10:55.893209+00	2026-08-13 13:08:13.993976+00
7c378a81-f216-422f-94a7-96608fd43fba	ocr_markdown	5	855	2026-08-13 12:10:55.893212+00	2026-08-13 13:08:13.993978+00
7c378a81-f216-422f-94a7-96608fd43fba	ocr_text	5	785	2026-08-13 12:10:55.893212+00	2026-08-13 13:08:13.993979+00
7c378a81-f216-422f-94a7-96608fd43fba	original	1	76728	2026-08-13 12:10:38.455061+00	2026-08-13 12:10:38.455061+00
7c378a81-f216-422f-94a7-96608fd43fba	tables_json	5	90	2026-08-13 12:10:55.893214+00	2026-08-13 13:08:13.99398+00
abc81562-7bda-4dbd-9381-fd12a930a9ab	formula_json	1	18	2026-08-13 12:11:23.458118+00	2026-08-13 12:11:23.458118+00
abc81562-7bda-4dbd-9381-fd12a930a9ab	layout_json	1	16795	2026-08-13 12:11:23.458118+00	2026-08-13 12:11:23.458118+00
abc81562-7bda-4dbd-9381-fd12a930a9ab	ocr_json	1	25371	2026-08-13 12:11:23.458115+00	2026-08-13 12:11:23.458115+00
abc81562-7bda-4dbd-9381-fd12a930a9ab	ocr_markdown	1	3837	2026-08-13 12:11:23.458117+00	2026-08-13 12:11:23.458117+00
abc81562-7bda-4dbd-9381-fd12a930a9ab	ocr_text	1	3813	2026-08-13 12:11:23.458117+00	2026-08-13 12:11:23.458117+00
abc81562-7bda-4dbd-9381-fd12a930a9ab	original	1	59899	2026-08-13 12:10:38.736404+00	2026-08-13 12:10:38.736404+00
abc81562-7bda-4dbd-9381-fd12a930a9ab	tables_json	1	18	2026-08-13 12:11:23.458118+00	2026-08-13 12:11:23.458118+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	formula_json	2	36	2026-08-13 12:11:09.559962+00	2026-08-13 12:37:24.918537+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	layout_json	2	33590	2026-08-13 12:11:09.559961+00	2026-08-13 12:37:24.918537+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	ocr_json	2	50742	2026-08-13 12:11:09.559958+00	2026-08-13 12:37:24.918533+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	ocr_markdown	2	7674	2026-08-13 12:11:09.55996+00	2026-08-13 12:37:24.918536+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	ocr_text	2	7626	2026-08-13 12:11:09.559961+00	2026-08-13 12:37:24.918536+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	original	1	59899	2026-08-13 12:10:38.681372+00	2026-08-13 12:10:38.681372+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	questions_json	2	6928	2026-08-13 12:14:32.321956+00	2026-08-13 12:39:52.54163+00
f09217d5-a40c-4a96-8d2c-c89f699ff0a2	tables_json	2	36	2026-08-13 12:11:09.559962+00	2026-08-13 12:37:24.918537+00
f19fe110-697b-44d0-ba1e-046b5654d57f	converted_pdf	2	36680	2026-08-13 12:11:36.355371+00	2026-08-13 12:19:39.570828+00
