task_type	event_type	count	min_seq	max_seq
build_knowledge_base	queued	9	1	1
build_knowledge_base	running	12	2	6
build_knowledge_base	knowledge_build_started	12	3	7
build_knowledge_base	ai_model_selected	8	4	4
build_knowledge_base	failed	1	4	4
build_knowledge_base	gpu_lease_waiting	8	5	8
build_knowledge_base	retry_scheduled	3	5	5
build_knowledge_base	gpu_lease_acquired	8	6	9
build_knowledge_base	gpu_lease_released	8	7	10
build_knowledge_base	succeeded	8	8	11
document_processing_pipeline	queued	12	1	1
document_processing_pipeline	running	12	2	2
document_processing_pipeline	conversion_started	3	3	3
document_processing_pipeline	doctr_health	5	3	3
document_processing_pipeline	gpu_lease_waiting	17	3	9
document_processing_pipeline	conversion_succeeded	3	4	4
document_processing_pipeline	doctr_running	5	4	4
document_processing_pipeline	gpu_lease_acquired	17	4	10
document_processing_pipeline	ocr_started	12	5	11
document_processing_pipeline	ocr_rendered	12	6	12
document_processing_pipeline	gpu_lease_released	17	7	14
document_processing_pipeline	ocr_page_completed	11	7	13
document_processing_pipeline	doctr_succeeded	5	8	8
document_processing_pipeline	ocr_artifacts_uploaded	12	8	15
document_processing_pipeline	succeeded	12	9	16
extract_questions	queued	2	1	1
extract_questions	running	4	2	6
extract_questions	question_extraction_started	4	3	7
extract_questions	ai_model_selected	2	4	4
extract_questions	retry_scheduled	2	5	5
extract_questions	succeeded	2	8	8
generate_flashcards	queued	8	1	1
generate_flashcards	running	9	2	6
generate_flashcards	flashcards_started	9	3	7
generate_flashcards	ai_model_selected	8	4	4
generate_flashcards	failed	2	5	5
generate_flashcards	orphan_requeued	1	5	5
generate_flashcards	retry_scheduled	1	5	5
generate_flashcards	succeeded	5	5	8
generate_flashcards	cancelled	1	6	6
generate_study_notes	queued	7	1	1
generate_study_notes	running	10	2	10
generate_study_notes	scheduled	8	2	3
generate_study_notes	study_notes_started	10	3	11
generate_study_notes	retry_scheduled	3	4	9
generate_study_notes	ai_model_selected	6	5	6
generate_study_notes	succeeded	6	6	7
generate_study_notes	failed	1	12	12
grade_homework	queued	3	1	1
grade_homework	running	4	2	6
grade_homework	grading_started	4	3	7
grade_homework	ai_model_selected	3	4	4
grade_homework	gpu_lease_waiting	3	5	8
grade_homework	retry_scheduled	1	5	5
grade_homework	gpu_lease_acquired	3	6	9
grade_homework	gpu_lease_released	3	7	10
grade_homework	note_highlight_skipped	3	8	11
grade_homework	succeeded	3	9	12
highlight_study_notes	queued	2	1	1
highlight_study_notes	running	2	2	2
highlight_study_notes	note_highlight_started	2	3	3
highlight_study_notes	ai_model_selected	2	4	4
highlight_study_notes	succeeded	2	5	5
merge_learning_units	queued	1	1	1
merge_learning_units	running	1	2	2
merge_learning_units	merge_claimed	1	3	3
merge_learning_units	merge_started	1	4	4
merge_learning_units	succeeded	1	5	5
openclaw_agent_run	queued	3	1	1
openclaw_agent_run	running	3	2	2
openclaw_agent_run	ai_model_selected	3	3	3
openclaw_agent_run	openclaw_prepare	3	4	4
openclaw_agent_run	knowledge_retrieved	3	5	5
openclaw_agent_run	openclaw_run	3	6	6
openclaw_agent_run	succeeded	3	7	7
scan_document	queued	9	1	1
scan_document	running	9	2	2
scan_document	scan_started	9	3	3
scan_document	scan_rejected	3	4	4
scan_document	scan_succeeded	6	4	4
scan_document	failed	3	5	5
scan_document	succeeded	6	5	5
(82 rows)
