id	task_type	status	attempt	elapsed_seconds	resource_type	resource_id	error	created_at	finished_at
eaced040-3665-481f-9288-ba55f3828bf0	scan_document	succeeded	1	0.123	document	7c378a81-f216-422f-94a7-96608fd43fba		2026-08-13 12:10:38.453032+00	2026-08-13 12:10:38.576513+00
c51c50d0-d7e3-459a-be09-6d3cee5f1739	scan_document	succeeded	1	0.118	document	f19fe110-697b-44d0-ba1e-046b5654d57f		2026-08-13 12:10:38.526113+00	2026-08-13 12:10:38.644274+00
00e8d6fb-f29b-409b-93c2-f344a6b5632a	document_processing_pipeline	succeeded	1	17.336	document	7c378a81-f216-422f-94a7-96608fd43fba		2026-08-13 12:10:38.572822+00	2026-08-13 12:10:55.908735+00
42d6ee02-bdd8-4565-8c64-7242b2d3d9a1	scan_document	succeeded	1	0.127	document	2d4593cc-051f-444e-9ed5-143df11a343d		2026-08-13 12:10:38.631506+00	2026-08-13 12:10:38.758024+00
d1c0203e-28e7-4f57-833a-c1e9ee7fca31	document_processing_pipeline	succeeded	1	70.176	document	f19fe110-697b-44d0-ba1e-046b5654d57f		2026-08-13 12:10:38.641625+00	2026-08-13 12:11:48.81744+00
e78fd789-f4e9-46b9-9679-785c88fdd07b	scan_document	succeeded	1	0.285	document	f09217d5-a40c-4a96-8d2c-c89f699ff0a2		2026-08-13 12:10:38.681038+00	2026-08-13 12:10:38.965762+00
83a74bc7-d6d2-401e-b1dd-940a4b1daa26	scan_document	succeeded	1	0.080	document	abc81562-7bda-4dbd-9381-fd12a930a9ab		2026-08-13 12:10:38.736116+00	2026-08-13 12:10:38.816566+00
4ac73e70-ebb0-43be-aceb-b72b1a2b8a5e	document_processing_pipeline	succeeded	1	57.307	document	2d4593cc-051f-444e-9ed5-143df11a343d		2026-08-13 12:10:38.755351+00	2026-08-13 12:11:36.061996+00
ad378ca3-91e6-4f70-a7f1-0bdaa1de7ac2	scan_document	failed	1	0.084	document	620605b2-1cff-4bf0-942f-d22129a4ade4	Detected MIME type is not allowed: text/plain	2026-08-13 12:10:38.790239+00	2026-08-13 12:10:38.874651+00
3f8c9653-bb58-44e6-9f07-6a8f176bdcf2	document_processing_pipeline	succeeded	1	44.652	document	abc81562-7bda-4dbd-9381-fd12a930a9ab		2026-08-13 12:10:38.812798+00	2026-08-13 12:11:23.464646+00
